year,h4_adx_band,trades,net_r_sum,avg_net_r,positive_trade_pct
2024,<18,98,-19.126069228241864,-0.1951639717167537,27.55102040816326
2024,22-30,103,-17.480181615881136,-0.1697105011250596,31.06796116504854
2026,18-22,51,-3.4008578324503387,-0.06668348691079096,33.33333333333333
2024,30+,135,1.2275370964260652,0.009092867380933817,32.592592592592595
2024,18-22,97,4.717948160465038,0.04863864082953648,36.08247422680412
2026,<18,45,6.616798500647072,0.14703996668104605,35.55555555555556
2025,<18,66,6.795919694365918,0.10296848021766543,33.33333333333333
2025,18-22,60,11.61081073984195,0.19351351233069916,43.333333333333336
2025,22-30,91,15.554408536062727,0.17092756633035963,36.26373626373626
2026,22-30,69,19.15687314092344,0.27763584262207885,37.68115942028986
2025,30+,148,36.669228563364754,0.24776505786057265,41.21621621621622
2026,30+,119,39.92629556975647,0.33551508882148295,40.33613445378151
