strategy_base,variant,strategy,family,signal_time,entry_time,exit_time,direction,entry,stop,target_r,gross_r,net_r,reason,balance_before_rm,balance_after_rm
Outcome First M15,M15,Outcome First M15,Outcome First,2026-01-05 11:15:00+00:00,2026-01-05 11:45:00+00:00,2026-01-05 15:00:00+00:00,-1,4416.945,4440.459698997234,3.0,-1.0,-1.0187837615974564,stop,100.0,94.90608119201272
Outcome First M15,M15,Outcome First M15,Outcome First,2026-01-06 11:30:00+00:00,2026-01-06 12:00:00+00:00,2026-01-07 05:00:00+00:00,1,4461.809,4447.384784487455,3.0,0.18760119034873718,0.1566684231828588,time_exit,94.90608119201272,95.64952049655356
Outcome First M15,M15,Outcome First M15,Outcome First,2026-01-08 12:45:00+00:00,2026-01-08 13:15:00+00:00,2026-01-08 20:30:00+00:00,1,4427.375,4406.747743719412,2.0,2.0,1.9785362874258436,target,95.64952049655356,105.11182285541923
Outcome First M15,M15,Outcome First M15,Outcome First,2026-01-09 11:45:00+00:00,2026-01-09 12:15:00+00:00,2026-01-09 12:45:00+00:00,1,4474.995,4466.298939202062,3.0,-1.0,-1.0514600243027399,stop,105.11182285541923,99.58577886471602
Outcome First M15,M15,Outcome First M15,Outcome First,2026-01-09 13:45:00+00:00,2026-01-09 14:15:00+00:00,2026-01-12 00:30:00+00:00,1,4482.178,4457.757192841831,3.0,3.0,2.981646069390869,target,99.58577886471602,114.43225617067645
Outcome First M15,M15,Outcome First M15,Outcome First,2026-01-12 12:45:00+00:00,2026-01-12 13:15:00+00:00,2026-01-12 16:15:00+00:00,1,4590.285,4577.452279810825,3.0,3.0,2.9642298364467417,target,114.43225617067645,131.39243157032826
Outcome First M15,M15,Outcome First M15,Outcome First,2026-01-12 16:45:00+00:00,2026-01-12 17:15:00+00:00,2026-01-13 06:45:00+00:00,-1,4616.675,4631.072955200949,3.0,3.0,2.9679352037454887,target,131.39243157032826,150.89064272849313
Outcome First M15,M15,Outcome First M15,Outcome First,2026-01-13 12:45:00+00:00,2026-01-13 13:15:00+00:00,2026-01-13 20:45:00+00:00,1,4592.995,4576.9553120003175,3.0,-1.0,-1.0286351891638474,stop,150.89064272849313,143.13007148718924
Outcome First M15,M15,Outcome First M15,Outcome First,2026-01-15 14:15:00+00:00,2026-01-15 14:45:00+00:00,2026-01-16 07:45:00+00:00,1,4602.495,4581.303088414037,2.0,0.00802192852261041,-0.013696239663069586,time_exit,143.13007148718924,143.0320542990852
Outcome First M15,M15,Outcome First M15,Outcome First,2026-01-19 15:45:00+00:00,2026-01-19 16:15:00+00:00,2026-01-20 00:30:00+00:00,1,4674.085,4663.135058037149,3.0,-1.0,-1.0426859340063848,stop,143.0320542990852,135.5751787426005
Outcome First M15,M15,Outcome First M15,Outcome First,2026-01-21 09:15:00+00:00,2026-01-21 09:45:00+00:00,2026-01-21 14:15:00+00:00,1,4875.485,4850.019502763962,3.0,-1.0,-1.0191454537675408,stop,135.5751787426005,128.66663738963837
Outcome First M15,M15,Outcome First M15,Outcome First,2026-01-21 14:15:00+00:00,2026-01-21 14:45:00+00:00,2026-01-21 19:45:00+00:00,-1,4860.085,4881.9389724615,3.0,3.0,2.9777610912223764,target,128.66663738963837,147.82356271750254
Outcome First M15,M15,Outcome First M15,Outcome First,2026-01-23 10:15:00+00:00,2026-01-23 10:45:00+00:00,2026-01-25 23:15:00+00:00,1,4929.048,4898.426853247447,3.0,3.0,2.983903124073598,target,147.82356271750254,169.8781222477248
Outcome First M15,M15,Outcome First M15,Outcome First,2026-01-27 09:45:00+00:00,2026-01-27 10:15:00+00:00,2026-01-27 12:00:00+00:00,1,5098.195,5071.948978458109,3.0,-1.0,-1.0194246392424198,stop,169.8781222477248,161.21922507334648
Outcome First M15,M15,Outcome First M15,Outcome First,2026-01-27 16:45:00+00:00,2026-01-27 17:15:00+00:00,2026-01-27 20:15:00+00:00,-1,5087.265,5104.49573675511,3.0,-1.0,-1.0295243614495562,stop,161.21922507334648,152.92026908599502
Outcome First M15,M15,Outcome First M15,Outcome First,2026-01-28 12:30:00+00:00,2026-01-28 13:00:00+00:00,2026-01-28 15:15:00+00:00,1,5269.395,5244.809985321155,3.0,-1.0,-1.0214333612114301,stop,152.92026908599502,145.11037586350182
Outcome First M15,M15,Outcome First M15,Outcome First,2026-01-29 11:30:00+00:00,2026-01-29 12:00:00+00:00,2026-01-29 15:15:00+00:00,1,5514.305,5468.287330678566,3.0,-1.0,-1.0119830167005688,stop,145.11037586350182,137.76791406745681
Outcome First M15,M15,Outcome First M15,Outcome First,2026-01-30 10:15:00+00:00,2026-01-30 10:45:00+00:00,2026-01-30 17:15:00+00:00,1,5058.978,4935.400580922801,2.0,-1.0,-1.0040937721776173,stop,137.76791406745681,130.8513188414051
Outcome First M15,M15,Outcome First M15,Outcome First,2026-02-02 10:30:00+00:00,2026-02-02 11:00:00+00:00,2026-02-02 11:15:00+00:00,-1,4672.418,4738.32452955156,2.0,-1.0,-1.0070894614415171,stop,130.8513188414051,124.26236963035994
Outcome First M15,M15,Outcome First M15,Outcome First,2026-02-03 09:00:00+00:00,2026-02-03 09:30:00+00:00,2026-02-03 16:30:00+00:00,-1,4915.975,4951.999579116093,2.0,-1.0,-1.0136461691451213,stop,124.26236963035994,117.96446588312448
Outcome First M15,M15,Outcome First M15,Outcome First,2026-02-05 09:00:00+00:00,2026-02-05 09:30:00+00:00,2026-02-06 02:30:00+00:00,-1,4862.245,4946.273119218704,3.0,0.5032839053547036,0.49749745547910323,time_exit,117.96446588312448,120.89881696381477
Outcome First M15,M15,Outcome First M15,Outcome First,2026-02-10 08:30:00+00:00,2026-02-10 09:00:00+00:00,2026-02-10 15:45:00+00:00,1,5048.485,5017.93539750195,3.0,-1.0,-1.0165255341712625,stop,120.89881696381477,114.753980239074
Outcome First M15,M15,Outcome First M15,Outcome First,2026-02-11 09:30:00+00:00,2026-02-11 10:00:00+00:00,2026-02-11 13:45:00+00:00,1,5064.355,5044.452009286778,3.0,-1.0,-1.0254451960158717,stop,114.753980239074,108.87028435108107
Outcome First M15,M15,Outcome First M15,Outcome First,2026-02-12 10:15:00+00:00,2026-02-12 10:45:00+00:00,2026-02-12 14:00:00+00:00,-1,5061.018,5081.515275319403,3.0,-1.0,-1.0246911744177485,stop,108.87028435108107,103.2923633745359
Outcome First M15,M15,Outcome First M15,Outcome First,2026-02-12 14:15:00+00:00,2026-02-12 14:45:00+00:00,2026-02-12 16:15:00+00:00,-1,5059.695,5084.521370262245,3.0,3.0,2.9796196747790615,target,103.2923633745359,118.68096128279566
Outcome First M15,M15,Outcome First M15,Outcome First,2026-02-13 16:00:00+00:00,2026-02-13 16:30:00+00:00,2026-02-13 16:30:00+00:00,-1,4997.275,5022.038199128185,2.0,-1.0,-1.020180248012916,stop,118.68096128279566,112.62716265700098
Outcome First M15,M15,Outcome First M15,Outcome First,2026-02-19 13:45:00+00:00,2026-02-19 14:15:00+00:00,2026-02-19 14:45:00+00:00,1,4996.795,4971.003308264412,2.0,-1.0,-1.0193736612984767,stop,112.62716265700098,106.88670449903466
Outcome First M15,M15,Outcome First M15,Outcome First,2026-02-19 15:00:00+00:00,2026-02-19 15:30:00+00:00,2026-02-20 08:30:00+00:00,1,4999.735,4961.343812083542,2.0,0.481881416127507,0.46885828433257587,time_exit,106.88670449903466,109.39244034350368
Outcome First M15,M15,Outcome First M15,Outcome First,2026-02-20 15:15:00+00:00,2026-02-20 15:45:00+00:00,2026-02-20 16:45:00+00:00,-1,5025.135,5065.418417284665,3.0,-1.0,-1.012474450626891,stop,109.39244034350368,103.8545877965275
Outcome First M15,M15,Outcome First M15,Outcome First,2026-02-23 08:45:00+00:00,2026-02-23 09:15:00+00:00,2026-02-23 15:00:00+00:00,1,5139.925,5120.691658539846,3.0,3.0,2.9732759644981694,target,103.8545877965275,119.2940052814415
Outcome First M15,M15,Outcome First M15,Outcome First,2026-02-25 11:45:00+00:00,2026-02-25 12:15:00+00:00,2026-02-25 21:00:00+00:00,1,5181.295,5153.948152530059,3.0,-1.0,-1.018946589751141,stop,119.2940052814415,113.21629428847753
Outcome First M15,M15,Outcome First M15,Outcome First,2026-02-27 11:45:00+00:00,2026-02-27 12:15:00+00:00,2026-02-27 13:30:00+00:00,1,5185.465,5168.322730098425,3.0,3.0,2.969750417944804,target,113.21629428847753,130.02750115254594
Outcome First M15,M15,Outcome First M15,Outcome First,2026-03-03 15:45:00+00:00,2026-03-03 16:15:00+00:00,2026-03-04 09:15:00+00:00,1,5094.998,4991.266439899736,2.0,0.663539620280191,0.6586279058558872,time_exit,130.02750115254594,134.3094881919347
Outcome First M15,M15,Outcome First M15,Outcome First,2026-03-04 12:30:00+00:00,2026-03-04 13:00:00+00:00,2026-03-05 06:00:00+00:00,-1,5166.205,5207.4773389730035,2.0,0.4332199348259739,0.42070258027677027,time_exit,134.3094881919347,137.13470560383465
Outcome First M15,M15,Outcome First M15,Outcome First,2026-03-12 10:30:00+00:00,2026-03-12 11:00:00+00:00,2026-03-12 13:30:00+00:00,-1,5181.735,5192.158511152113,2.0,2.0,1.9502880082883625,target,137.13470560383465,150.50731419680034
Outcome First M15,M15,Outcome First M15,Outcome First,2026-03-13 14:00:00+00:00,2026-03-13 14:30:00+00:00,2026-03-15 23:30:00+00:00,-1,5090.095,5122.808378265805,3.0,3.0,2.9844403260383516,target,150.50731419680034,172.9663190894331
Outcome First M15,M15,Outcome First M15,Outcome First,2026-03-16 10:30:00+00:00,2026-03-16 11:00:00+00:00,2026-03-16 14:15:00+00:00,1,4985.405,4968.975497551573,3.0,3.0,2.969655776152384,target,172.9663190894331,198.6488405176207
Outcome First M15,M15,Outcome First M15,Outcome First,2026-03-16 14:30:00+00:00,2026-03-16 15:00:00+00:00,2026-03-17 04:45:00+00:00,-1,5000.825,5038.997253162894,3.0,-1.0,-1.013100680692491,stop,198.6488405176207,188.58627674026192
Outcome First M15,M15,Outcome First M15,Outcome First,2026-03-17 15:15:00+00:00,2026-03-17 15:45:00+00:00,2026-03-18 08:45:00+00:00,-1,4994.485,5021.566994186069,3.0,0.38054804713387624,0.36210595987218874,time_exit,188.58627674026192,192.00068747814964
Outcome First M15,M15,Outcome First M15,Outcome First,2026-03-18 10:15:00+00:00,2026-03-18 10:45:00+00:00,2026-03-18 11:45:00+00:00,-1,4982.295,4996.348453120249,3.0,3.0,2.9645475389047187,target,192.00068747814964,220.4604457547178
Outcome First M15,M15,Outcome First M15,Outcome First,2026-03-23 07:45:00+00:00,2026-03-23 08:15:00+00:00,2026-03-24 01:15:00+00:00,1,4203.695,4093.642868469857,3.0,1.154725476309321,1.1509057456584444,time_exit,220.4604457547178,233.14690544019413
Outcome First M15,M15,Outcome First M15,Outcome First,2026-03-24 14:00:00+00:00,2026-03-24 14:30:00+00:00,2026-03-24 23:45:00+00:00,1,4395.185,4348.23970149738,3.0,3.0,2.9906376460685307,target,233.14690544019413,268.0098010638854
Outcome First M15,M15,Outcome First M15,Outcome First,2026-03-26 11:45:00+00:00,2026-03-26 12:15:00+00:00,2026-03-26 14:00:00+00:00,-1,4422.775,4458.2465135434795,3.0,-1.0,-1.0124685263135973,stop,268.0098010638854,254.44222664784778
Outcome First M15,M15,Outcome First M15,Outcome First,2026-03-26 15:30:00+00:00,2026-03-26 16:00:00+00:00,2026-03-27 09:00:00+00:00,-1,4439.925,4481.40060181662,3.0,0.38890333819186595,0.37819843023265015,time_exit,254.44222664784778,259.2537091830036
Outcome First M15,M15,Outcome First M15,Outcome First,2026-04-06 10:00:00+00:00,2026-04-06 10:30:00+00:00,2026-04-07 02:00:00+00:00,-1,4686.495,4707.476513565496,3.0,3.0,2.9776636943499306,target,259.2537091830036,297.85222705599284
Outcome First M15,M15,Outcome First M15,Outcome First,2026-04-07 09:45:00+00:00,2026-04-07 10:15:00+00:00,2026-04-07 14:15:00+00:00,-1,4670.438,4695.347573037925,2.0,2.0,1.9812504293313689,target,297.85222705599284,327.35821969259234
Outcome First M15,M15,Outcome First M15,Outcome First,2026-04-10 11:15:00+00:00,2026-04-10 11:45:00+00:00,2026-04-10 20:30:00+00:00,1,4761.405,4741.250411492884,3.0,-1.0,-1.0236244217951609,stop,327.35821969259234,310.6036262749562
Outcome First M15,M15,Outcome First M15,Outcome First,2026-04-15 08:45:00+00:00,2026-04-15 09:15:00+00:00,2026-04-15 09:15:00+00:00,1,4818.205,4803.332376840094,3.0,-1.0,-1.0323964706709514,stop,310.6036262749562,294.570321897763
Outcome First M15,M15,Outcome First M15,Outcome First,2026-04-15 11:45:00+00:00,2026-04-15 12:15:00+00:00,2026-04-15 15:45:00+00:00,1,4812.495,4791.844560727004,3.0,-1.0,-1.0233045647909933,stop,294.570321897763,279.49856414526636
Outcome First M15,M15,Outcome First M15,Outcome First,2026-04-16 10:45:00+00:00,2026-04-16 11:15:00+00:00,2026-04-16 14:00:00+00:00,1,4817.035,4804.094671369596,3.0,-1.0,-1.0372249819736576,stop,279.49856414526636,265.0034194874045
Outcome First M15,M15,Outcome First M15,Outcome First,2026-04-16 14:00:00+00:00,2026-04-16 14:30:00+00:00,2026-04-17 07:30:00+00:00,-1,4800.595,4824.590062660631,2.0,0.3792446858215971,0.3592380908487217,time_exit,265.0034194874045,269.7633856116565
Outcome First M15,M15,Outcome First M15,Outcome First,2026-04-20 15:00:00+00:00,2026-04-20 15:30:00+00:00,2026-04-20 22:15:00+00:00,-1,4798.005,4828.507177025809,2.0,-1.0,-1.0157300411571941,stop,269.7633856116565,256.06304687315486
Outcome First M15,M15,Outcome First M15,Outcome First,2026-04-21 13:45:00+00:00,2026-04-21 14:15:00+00:00,2026-04-21 14:45:00+00:00,1,4778.795,4758.437438303621,2.0,-1.0,-1.0234742994827815,stop,256.06304687315486,242.95934949705844
Outcome First M15,M15,Outcome First M15,Outcome First,2026-04-22 13:45:00+00:00,2026-04-22 14:15:00+00:00,2026-04-22 14:45:00+00:00,1,4752.685,4735.3505886271005,2.0,-1.0,-1.027417631310113,stop,242.95934949705844,230.47831352881278
Outcome First M15,M15,Outcome First M15,Outcome First,2026-04-23 07:15:00+00:00,2026-04-23 07:45:00+00:00,2026-04-23 08:15:00+00:00,-1,4705.785,4721.9545135973085,3.0,-1.0,-1.029102823481241,stop,230.47831352881278,218.619019368628
Outcome First M15,M15,Outcome First M15,Outcome First,2026-04-23 08:30:00+00:00,2026-04-23 09:00:00+00:00,2026-04-23 12:15:00+00:00,-1,4703.545,4725.607936596517,3.0,-1.0,-1.021318762257344,stop,218.619019368628,207.45503405525392
Outcome First M15,M15,Outcome First M15,Outcome First,2026-04-23 13:15:00+00:00,2026-04-23 13:45:00+00:00,2026-04-23 17:45:00+00:00,-1,4727.285,4744.0052511936765,2.0,2.0,1.9717271891119208,target,207.45503405525392,227.9072706134981
Outcome First M15,M15,Outcome First M15,Outcome First,2026-04-24 09:15:00+00:00,2026-04-24 09:45:00+00:00,2026-04-24 11:15:00+00:00,-1,4683.105,4698.174373310832,3.0,-1.0,-1.0310769725017928,stop,227.9072706134981,216.15777368373247
Outcome First M15,M15,Outcome First M15,Outcome First,2026-04-27 12:30:00+00:00,2026-04-27 13:00:00+00:00,2026-04-28 05:15:00+00:00,-1,4698.585,4713.148868309352,3.0,3.0,2.967738069994887,target,216.15777368373247,248.23275638806004
Outcome First M15,M15,Outcome First M15,Outcome First,2026-04-29 09:00:00+00:00,2026-04-29 09:30:00+00:00,2026-04-29 10:00:00+00:00,1,4573.665,4556.264103446176,3.0,-1.0,-1.0262840767189945,stop,248.23275638806004,235.49489012800348
Outcome First M15,M15,Outcome First M15,Outcome First,2026-05-01 14:45:00+00:00,2026-05-01 15:15:00+00:00,2026-05-04 08:15:00+00:00,-1,4631.965,4661.386331409556,2.0,1.7664054449663893,1.7506618848415216,time_exit,235.49489012800348,256.10848653910534
Outcome First M15,M15,Outcome First M15,Outcome First,2026-05-04 15:00:00+00:00,2026-05-04 15:30:00+00:00,2026-05-05 08:30:00+00:00,-1,4548.198,4584.300097195122,3.0,-0.0819065990548317,-0.0945047536036332,time_exit,256.10848653910534,254.89831306829646
Outcome First M15,M15,Outcome First M15,Outcome First,2026-05-07 08:30:00+00:00,2026-05-07 09:00:00+00:00,2026-05-07 13:45:00+00:00,-1,4735.045,4754.249205744635,3.0,-1.0,-1.024656291767353,stop,254.89831306829646,241.83915505598074
Outcome First M15,M15,Outcome First M15,Outcome First,2026-05-07 15:30:00+00:00,2026-05-07 16:00:00+00:00,2026-05-08 09:00:00+00:00,-1,4738.735,4765.7730803225695,3.0,0.8595284769755034,0.8420023251797178,time_exit,241.83915505598074,252.0206115998124
Outcome First M15,M15,Outcome First M15,Outcome First,2026-05-08 14:15:00+00:00,2026-05-08 14:45:00+00:00,2026-05-11 07:45:00+00:00,-1,4717.965,4750.518212491512,3.0,1.4207507173695935,1.4062576316219726,time_exit,252.0206115998124,269.7409070192261
Outcome First M15,M15,Outcome First M15,Outcome First,2026-05-11 14:15:00+00:00,2026-05-11 14:45:00+00:00,2026-05-11 23:00:00+00:00,-1,4724.865,4749.680189521355,2.0,-1.0,-1.0190402132368723,stop,269.7409070192261,255.9970654488471
Outcome First M15,M15,Outcome First M15,Outcome First,2026-05-12 13:15:00+00:00,2026-05-12 13:45:00+00:00,2026-05-12 15:30:00+00:00,-1,4690.475,4712.544664635261,2.0,2.0,1.97874695842679,target,255.9970654488471,281.32473618000165
Outcome First M15,M15,Outcome First M15,Outcome First,2026-05-14 08:00:00+00:00,2026-05-14 08:30:00+00:00,2026-05-14 19:45:00+00:00,-1,4698.715,4719.603643955884,2.0,2.0,1.977505887840668,target,281.32473618000165,309.14080228956044
Outcome First M15,M15,Outcome First M15,Outcome First,2026-05-15 10:15:00+00:00,2026-05-15 10:45:00+00:00,2026-05-15 13:45:00+00:00,1,4551.575,4530.369548496929,3.0,-1.0,-1.0214641739617802,stop,309.14080228956044,293.35198957713106
Outcome First M15,M15,Outcome First M15,Outcome First,2026-05-19 10:30:00+00:00,2026-05-19 11:00:00+00:00,2026-05-19 11:15:00+00:00,-1,4528.925,4547.609670644094,3.0,-1.0,-1.0242387199981584,stop,293.35198957713106,278.32886626146137
Outcome First M15,M15,Outcome First M15,Outcome First,2026-05-20 13:30:00+00:00,2026-05-20 14:00:00+00:00,2026-05-20 14:30:00+00:00,-1,4489.665,4506.907880562663,2.0,-1.0,-1.0260377898210447,stop,278.32886626146137,264.05006952234606
Outcome First M15,M15,Outcome First M15,Outcome First,2026-05-21 08:00:00+00:00,2026-05-21 08:30:00+00:00,2026-05-21 10:30:00+00:00,1,4534.085,4510.89020372813,3.0,-1.0,-1.0195478543844712,stop,264.05006952234606,250.58948543076716
Outcome First M15,M15,Outcome First M15,Outcome First,2026-05-22 10:30:00+00:00,2026-05-22 11:00:00+00:00,2026-05-24 22:15:00+00:00,-1,4512.188,4537.454094267749,3.0,-1.0,-1.0178586684280668,stop,250.58948543076716,237.8362514326354
Outcome First M15,M15,Outcome First M15,Outcome First,2026-05-26 11:15:00+00:00,2026-05-26 11:45:00+00:00,2026-05-27 04:45:00+00:00,-1,4523.375,4541.191696983941,3.0,0.8531323181676184,0.8277439142222796,time_exit,237.8362514326354,247.67962691787562
Outcome First M15,M15,Outcome First M15,Outcome First,2026-05-27 08:15:00+00:00,2026-05-27 08:45:00+00:00,2026-05-27 10:45:00+00:00,1,4488.915,4474.7945330013745,3.0,-1.0,-1.0317901313068254,stop,247.67962691787562,234.9019571788946
Outcome First M15,M15,Outcome First M15,Outcome First,2026-05-29 08:15:00+00:00,2026-05-29 08:45:00+00:00,2026-05-29 09:15:00+00:00,-1,4516.855,4527.02962862568,2.0,-1.0,-1.0443933156302105,stop,234.9019571788946,222.63545548359005
Outcome First M15,M15,Outcome First M15,Outcome First,2026-06-04 14:00:00+00:00,2026-06-04 14:30:00+00:00,2026-06-05 07:30:00+00:00,-1,4487.515,4516.275667433074,3.0,0.7148651903800118,0.6992622318935912,time_exit,222.63545548359005,230.41948375859513
Outcome First M15,M15,Outcome First M15,Outcome First,2026-06-08 14:00:00+00:00,2026-06-08 14:30:00+00:00,2026-06-09 05:45:00+00:00,-1,4319.415,4347.886050163807,3.0,-1.0,-1.0151712528169785,stop,230.41948375859513,218.72372195856244
Outcome First M15,M15,Outcome First M15,Outcome First,2026-06-09 08:15:00+00:00,2026-06-09 08:45:00+00:00,2026-06-09 14:15:00+00:00,1,4334.365,4320.061707199832,3.0,-1.0,-1.0303032669508745,stop,218.72372195856244,207.45613369388437
Outcome First M15,M15,Outcome First M15,Outcome First,2026-06-10 07:30:00+00:00,2026-06-10 08:00:00+00:00,2026-06-10 17:45:00+00:00,-1,4189.495,4217.601935558153,3.0,3.0,2.9850944440693934,target,207.45613369388437,238.41994129777095
Outcome First M15,M15,Outcome First M15,Outcome First,2026-06-11 08:30:00+00:00,2026-06-11 09:00:00+00:00,2026-06-11 17:45:00+00:00,-1,4090.395,4113.696955409787,3.0,-1.0,-1.0175538701712648,stop,238.41994129777095,226.28968459809332
Outcome First M15,M15,Outcome First M15,Outcome First,2026-06-12 15:00:00+00:00,2026-06-12 15:30:00+00:00,2026-06-15 02:30:00+00:00,1,4213.775,4175.542303374381,3.0,3.0,2.9889786089606445,target,226.28968459809332,260.1084359327009
Outcome First M15,M15,Outcome First M15,Outcome First,2026-06-16 11:15:00+00:00,2026-06-16 11:45:00+00:00,2026-06-16 13:00:00+00:00,-1,4341.925,4349.966009984204,2.0,-1.0,-1.053997259156866,stop,260.1084359327009,246.40075700486858
Outcome First M15,M15,Outcome First M15,Outcome First,2026-06-17 16:45:00+00:00,2026-06-17 17:15:00+00:00,2026-06-17 17:45:00+00:00,-1,4359.278,4367.187271023949,3.0,-1.0,-1.055116052880229,stop,246.40075700486858,233.4016872969847
Outcome First M15,M15,Outcome First M15,Outcome First,2026-06-19 10:00:00+00:00,2026-06-19 10:30:00+00:00,2026-06-19 13:00:00+00:00,-1,4155.005,4171.538358662238,3.0,-1.0,-1.0251310401285247,stop,233.4016872969847,221.43832157365918
Outcome First M15,M15,Outcome First M15,Outcome First,2026-06-23 14:30:00+00:00,2026-06-23 15:00:00+00:00,2026-06-24 02:45:00+00:00,-1,4125.975,4145.9299955501665,3.0,3.0,2.979323598496289,target,221.43832157365918,254.42514242744983
Outcome First M15,M15,Outcome First M15,Outcome First,2026-06-24 07:45:00+00:00,2026-06-24 08:15:00+00:00,2026-06-24 12:30:00+00:00,-1,4074.665,4095.3546731584806,3.0,3.0,2.980305802954022,target,254.42514242744983,292.33837884714643
Outcome First M15,M15,Outcome First M15,Outcome First,2026-06-25 16:45:00+00:00,2026-06-25 17:15:00+00:00,2026-06-26 02:45:00+00:00,-1,4028.485,4045.0880950187407,2.0,2.0,1.9757365419191246,target,292.33837884714643,321.2175597318316
Outcome First M15,M15,Outcome First M15,Outcome First,2026-07-08 10:30:00+00:00,2026-07-08 11:00:00+00:00,2026-07-08 14:45:00+00:00,1,4056.915,4039.27081047798,2.0,-1.0,-1.0229929235057067,stop,321.2175597318316,304.7873952062598
Outcome First M15,M15,Outcome First M15,Outcome First,2026-07-13 13:30:00+00:00,2026-07-13 14:00:00+00:00,2026-07-13 14:30:00+00:00,-1,4054.585,4068.1897622056013,3.0,3.0,2.9701973107745268,target,304.7873952062598,350.0513302862401
Outcome First M15,M15,Outcome First M15,Outcome First,2026-07-16 09:30:00+00:00,2026-07-16 10:00:00+00:00,2026-07-16 11:30:00+00:00,-1,4033.995,4038.081013408182,3.0,3.0,2.9012730846178347,target,350.0513302862401,400.8310554259469
Outcome First M15,M15,Outcome First M15,Outcome First,2026-07-17 10:45:00+00:00,2026-07-17 11:15:00+00:00,2026-07-17 13:15:00+00:00,-1,3990.635,4000.1590683344125,3.0,3.0,2.9580994711516184,target,400.8310554259469,460.11596207977874
Outcome First M15,M15,Outcome First M15,Outcome First,2026-07-21 07:15:00+00:00,2026-07-21 07:45:00+00:00,2026-07-21 18:30:00+00:00,-1,4069.375,4084.480374317168,2.0,-1.0,-1.026939914990223,stop,460.11596207977874,436.4903897305861
Outcome First M15,M15,Outcome First M15,Outcome First,2026-07-22 16:15:00+00:00,2026-07-22 16:45:00+00:00,2026-07-23 07:45:00+00:00,-1,4149.035,4166.623599049952,3.0,3.0,2.9764106567656885,target,436.4903897305861,501.44912210908234
Outcome First M15,M15,Outcome First M15,Outcome First,2026-07-23 14:30:00+00:00,2026-07-23 15:00:00+00:00,2026-07-24 03:00:00+00:00,1,4056.865,4038.617142680189,2.0,-1.0,-1.0222320074565447,stop,501.44912210908234,475.81925497253786
Outcome First M15,M15,Outcome First M15,Outcome First,2026-07-27 07:45:00+00:00,2026-07-27 08:15:00+00:00,2026-07-28 01:15:00+00:00,-1,4088.875,4106.547514894255,3.0,1.762058212219856,1.7389212958020959,time_exit,475.81925497253786,517.1898667437596
Outcome First M15,M15,Outcome First M15,Outcome First,2026-07-29 10:30:00+00:00,2026-07-29 11:00:00+00:00,2026-07-29 17:15:00+00:00,-1,4027.175,4038.0558869956076,3.0,-1.0,-1.0370114587314965,stop,517.1898667437596,490.3732758361049
Outcome First M15,M15,Outcome First M15,Outcome First,2026-07-31 14:30:00+00:00,2026-07-31 15:00:00+00:00,2026-08-03 08:00:00+00:00,1,4041.245,4019.705054949538,2.0,0.9113300871479768,0.8925684561849798,time_exit,490.3732758361049,512.2578617244751
Outcome First M15,M15,Outcome First M15,Outcome First,2026-08-03 11:45:00+00:00,2026-08-03 12:15:00+00:00,2026-08-03 12:45:00+00:00,1,4062.405,4044.644813788909,3.0,-1.0,-1.0228736621999097,stop,512.2578617244751,486.05910797383467
Outcome First M15,M15,Outcome First M15,Outcome First,2026-08-04 10:45:00+00:00,2026-08-04 11:15:00+00:00,2026-08-04 12:00:00+00:00,1,4053.635,4044.8216769123355,2.0,2.0,1.95400560084228,target,486.05910797383467,533.5472189398985
Outcome First M15,M15,Outcome First M15,Outcome First,2026-08-05 07:15:00+00:00,2026-08-05 07:45:00+00:00,2026-08-05 11:30:00+00:00,-1,4164.105,4180.273340036793,3.0,-1.0,-1.0257546847142247,stop,533.5472189398985,506.18279097270613
Outcome First M15,M15,Outcome First M15,Outcome First,2026-08-06 08:00:00+00:00,2026-08-06 08:30:00+00:00,2026-08-06 13:00:00+00:00,1,4268.605,4249.840359742634,3.0,-1.0,-1.0227481312801854,stop,506.18279097270613,480.29791579502995
Outcome First M15,M15,Outcome First M15,Outcome First,2026-08-07 10:15:00+00:00,2026-08-07 10:45:00+00:00,2026-08-07 11:15:00+00:00,-1,4313.605,4321.498215967961,3.0,-1.0,-1.0546495245728589,stop,480.29791579502995,454.9706173677018
Outcome First M15,M15,Outcome First M15,Outcome First,2026-08-12 09:00:00+00:00,2026-08-12 09:30:00+00:00,2026-08-12 12:45:00+00:00,1,4412.925,4400.880163761571,3.0,-1.0,-1.0366374844177655,stop,454.9706173677018,431.38863755409915
Outcome First M15,M15,Outcome First M15,Outcome First,2026-08-13 13:30:00+00:00,2026-08-13 14:00:00+00:00,2026-08-14 07:00:00+00:00,-1,4379.395,4402.846062536898,3.0,1.8741155088751502,1.8554408966135116,time_exit,431.38863755409915,471.40944357671214
Outcome First M15,M15,Outcome First M15,Outcome First,2026-08-14 10:30:00+00:00,2026-08-14 11:00:00+00:00,2026-08-14 11:45:00+00:00,-1,4351.695,4359.122747638161,2.0,-1.0,-1.0585870066134513,stop,471.40944357671214,446.4580479884529
Outcome First M15,M15,Outcome First M15,Outcome First,2026-08-17 07:15:00+00:00,2026-08-17 07:45:00+00:00,2026-08-17 12:15:00+00:00,1,4404.755,4391.675910458786,3.0,-1.0,-1.033677841153393,stop,446.4580479884529,423.3833584279398
